anomaly_id,mission,get_report,get_diagnosis,subsystem,crew_observed,symptom_report,exchange_quote,established_cause,cause_confidence,in_corpus,diagnosed_in_flight,mc_turns,mc_time_s,notes
A07-011,Apollo 7,,,EPS,true,"Crew reported two AC bus 1 failure indications and one AC bus 1 and 2 failure indication early in the mission; loss verified on onboard meter, restored by resetting AC bus sensors; occurrences coincided with automatic cryo O2 tank fan/heater cycles",,"Corona arcing of AC power within the motor-operated cryogenic fan switch in the service module: an environmental-seal leak dropped internal pressure to the corona threshold as contacts opened. In flight, a procedural change to prevent both tanks' fans cycling simultaneously stopped recurrence for the remaining ~200 h; root corona cause confirmed postflight (a sister switch leaked 7x spec). Manual fan switching adopted. Anomaly closed.",high,true,true,,,Anomaly 11.11. CREW-DIAGNOSED candidate: crew reported the indications and the in-flight correlation with cryo-fan cycling drove a procedural fix. Turn-hunt attempted (NASA AFJ ap07fj day1 URL redirected to a generic resource page; no clean crew-report -> CapCom-diagnosis exchange with GET timestamps located within the fetch budget). Left at -1 per hard rules (no verbatim timestamped exchange). A PAO transcript exists at honeysucklecreek.net/msfn_missions/Apollo_7_mission/A7_PAO_transcript.pdf for future hunting.
A07-012,Apollo 7,,,EPS,false,In-flight charges on entry batteries A and B returned 50-75% less energy than expected; planned charge levels could not be maintained,,High spacecraft charging-circuit (charger-to-battery line) resistance reduced the charging potential; not previously evaluated. Determined analytically on Apollo 7; preflight/inflight/postflight tests with actual circuit resistances reproduced the low energy return. Future spacecraft check individual charger characteristics with line drop. Anomaly closed.,high,,false,,,Anomaly 11.12. Telemetry/data-detected battery charge shortfall; analytical diagnosis.
A07-013,Apollo 7,,,EPS,true,"At CM/SM separation the crew reported caution/warning undervoltage indications, with main buses A and B at 25.0 and 25.1 V (up to 4.5 V lower than expected); recovered above alarm level (~26.2 V) in ~5 min",,"Low-voltage condition from the batteries' mid-range state of charge, low temperature, and zero-g displacement of electrolyte from the plates. Apollo 8 mitigations: warm batteries on main buses ~12 min before separation, gimbal motors on, remove fuel cell 2; and change battery separator to absorptive cellophane. Anomaly closed.",high,true,false,,,Anomaly 11.13. Crew-reported C&W indication at separation; cause analytical/postflight.
A07-014,Apollo 7,,,EPS,false,"Before the 5th SPS maneuver, fuel cell 2 condenser exit temperature rose to 180F (nominal 155-165F); load removed ~54 min to cool; thereafter every load increase drove fuel cell 2 exit temp to 180-190F",,"Malfunctions in the respective secondary bypass (shuttle) valves, per flight data; postflight, similar erratic shuttle-valve operation reproduced with intentional contaminants. Apollo 8 radiator loop drained/flushed/reserviced; filter/valve-protection studies underway. Anomaly closed.",high,,false,,,"Anomaly 11.14. Telemetry-detected temperature rise, managed in real time (load shedding); bypass-valve diagnosis from flight-data analysis. Not counted as a crew-diagnosed air-to-ground exchange."
A07-015,Apollo 7,,,RCS,false,"During postflight testing, high leakage observed through the closed CM RCS oxidizer propellant isolation valves; valves opened when voltage was removed instead of staying closed",,"Bellows damaged by hydraulic hammering during system activation (valves were closed at activation, an unqualified condition), causing the spring/bellows-preloaded valve to open when de-energized. Corrected by procedure: open isolation valves before CM RCS activation. Anomaly closed.",high,,false,,,Anomaly 11.15. Discovered in postflight testing.
A07-016,Apollo 7,,,comms,false,"About 7 min after lift-off, voice communications became garbled and erratic through several ground-station handovers until Simplex-A was selected at ~19 min",,"Improper ground patching procedures and/or malfunctioning receivers at the network stations (e.g., Grand Bahama and Bermuda both patched to air-to-ground 1; VHF uplink not transmitted). Future missions patch voice at a single point at Goddard. Anomaly closed.",high,,false,,,Anomaly 11.16. Ground-segment/procedural problem noticed in flight as garbled voice.
A07-017,Apollo 7,,,ECLSS,true,"Under low, variable heat loads the primary water evaporator operated erratically in automatic mode (apparent wick drying and flash freezing); crew repeatedly serviced it with water, then turned it off",,Automatic-control thermodynamics cause dryout under low cyclic heat loads (as demonstrated with a similar evaporator and verified postflight with the flight unit). Fix: remove sponge material at the boiler-wick temperature sensors to improve response; implemented on CM 106+. Anomaly closed.,high,true,false,,,Anomaly 11.17. Crew observed and managed in flight; corrective mod postflight.
A07-018,Apollo 7,,,ECLSS,true,Moisture condensed on ~200 in of uninsulated coolant lines (radiator-to-ECU and ECU-to-IMU); crew dumped it overboard using the urine transfer hose and cabin enrichment purge assembly,,Condensation on uninsulated coolant lines; the condition was anticipated. Urine transfer hose acceptable for removing free water; lines insulated on spacecraft 106+. Anomaly closed.,high,true,true,,,"Anomaly 11.18. Crew handled in flight and cause was anticipated/known (so diagnosed_in_flight=true), but there is no diagnostic air-to-ground exchange to hunt; left at -1."
A07-019,Apollo 7,,,crew equipment,true,A seam on three food bags split and the crew reported some food crumbled badly,,Defective food bags; for future missions the menu will be changed and food bags inspected for defects. Anomaly closed.,high,false,false,,,Anomaly 11.19. Crew-reported crew-provisions issue.
A07-020,Apollo 7,,,EPS,false,"Entry battery manifold pressure increased to cabin pressure (5 psia), indicating a leak from the cabin into the battery manifold",,"Leak associated with undertorqued B-nut fittings (as seen on spacecraft 2TV-1); postflight leak rate was within spec (B-nuts excluded, batteries removed). Future B-nuts torqued to spec. Crew has manual control of the manifold overboard vent, so no hardware change. Anomaly closed.",high,,false,,,Anomaly 11.20. Telemetry-detected (manifold pressure rise).
A07-021,Apollo 7,,,EPS,true,Sometime during the mission both primary lamps failed in the lower-equipment-bay floodlights,,"Lamp cathodes (filaments) vaporized, raising start-up voltage from ~500 V toward ~1800 V and shorting a 700-V-rated diode in each lamp driver; deterioration worst near mid-rheostat setting. Procedural change (use secondary lamp on full-bright in ground tests). Anomaly still open.",high,true,false,,,Anomaly 11.21. Crew-observed lighting failure; cause postflight; listed as still open in the report.
A07-022,Apollo 7,,,instrumentation,true,"Glass on both mission event timers cracked during the mission, though timer operation was unaffected",,Cause pending failure analyses; interim fix for Apollo 8 is transparent tape over the glass. Mission effectivity of further action pending analysis.,high,true,false,,,Anomaly 11.22. Crew-observed; cause not yet determined at report time.
A07-023,Apollo 7,,,structures,false,Approximately 290 lb of water was found in the docking tunnel,,Leakage through a makeshift ball check valve installed in the top hatch (the normal tunnel pressure-control valve had been rendered inoperative); upper-hatch vent-valve leak 0.5-3.0 gal/min in stable I. No other spacecraft has this peculiarity. Anomaly closed.,high,,false,,,Anomaly 11.23. Found postflight.
A07-024,Apollo 7,,,comms,false,Recovery forces reported the VHF recovery beacon signal was not received while the spacecraft descended on the main parachutes; beacon received after return to stable I,,"No conclusive cause; beacon and antenna operated properly in postflight test, but the antenna was bent and may not have deployed properly until after return to stable I. Anomaly closed.",high,,false,,,"Anomaly 11.24. Detected by recovery forces (ground), not crew diagnosis."
A07-025,Apollo 7,,,ECLSS,true,Crew reported a gurgling sound in the suit supply hoses and observed water droplets at the hose endings (no crew discomfort or hazard),,"Free water from the water separator not operating properly and/or the cyclic accumulator not being cycled properly (often left in manual mode); separator flow rate measured erratic (0.2-15 lb/hr), cause under study. Future procedure: run accumulators in automatic mode. Closure awaits separator flow-rate study.",high,true,false,,,Anomaly 11.25. Crew-reported; cause still under study at report time.
A07-026,Apollo 7,,,instrumentation,false,"Electromagnetic interference events: mission event timer started inadvertently (coincident with an O2 fan cycle), a computer program alarm appeared when interior lights were brightened, and the central timing equipment showed an unexpected reset",,"Electromagnetic interference / voltage transients (timer starts and program alarms previously seen in ground tests); nuisance-level, no performance degradation, no hardware changes warranted. Central timing updated and operated normally afterward. These problems closed.",high,,false,,,Anomaly 11.26. Mix of ground-test and in-flight EMI nuisance events; not crew-diagnosed.
A08-001,Apollo 8,,,GNC,true,Four abnormal Entry Monitor System (EMS) indications: (1) delta-V counter jumped 100 ft/sec during spacecraft/S-IVB separation; (2) after the 3rd midcourse correction the system counted to zero at cutoff then kept counting until crew turned it off; (3) rapidly switching mode from standby to automatic made the delta-V counter jump 19-20 ft/sec; (4) during initial entry the g/velocity scroll trace showed two short incorrect g transients.,,"Postflight tilt-table testing reproduced abnormal accelerometer outputs; inspection found a bubble in the accelerometer damping fluid (case held 1 cc less fluid than filled), with fluid leaking past the O-ring seal near the fill port. Bubble explains the erratic g trace, the random pulses, and the slow drive-to-null after the midcourse correction. Separation counter jump attributed to a logic-race in the sign-change circuit when the counter reads near zero. Seal changed from screw to plug type for CSM 106 and subsequent.",high,true,false,,,"Anomaly 12.1. Crew observed the abnormal EMS indications in flight but the root cause (damping-fluid bubble/leak) was determined only in postflight functional and tilt-table tests. Report states anomaly still OPEN, Anomaly Report to be prepared."
A08-002,Apollo 8,,,structures,true,Visibility through the hatch window degraded to uselessness for visual observation and photography after ~6 hours; the two side windows (1 and 5) fogged to a lesser degree; the two rendezvous windows (2 and 4) stayed usable throughout.,,"Outgassing of silicone oils from the RTV window-sealing material condensing on the inner heat-shield pane, consistent with the Apollo 7 window-fogging analysis. Corrected by a new RTV curing process that greatly reduces residual oils; CM 104 windows 1, 3, 5 refitted with the new-process insulation.",high,true,false,,,Anomaly 12.2. Crew-observed condition; cause already understood from prior Apollo 7 analysis rather than diagnosed in flight. Anomaly CLOSED.
A08-003,Apollo 8,,,ECLSS,true,On the sixth mission day the cabin fans were momentarily turned on and the crew reported that both fans were noisy.,,"Postflight acoustic measurements at all couch/head, work-station and sleep positions found the fan noise level normal versus prior checkout; no blade or bearing damage, no loose objects, no nicked blades (unlike Apollo 7). Noise possibly a resonant condition in the duct system; no further action required because fans are not needed for a comfortable cabin environment.",high,true,false,,,Anomaly 12.3. Crew-reported in flight; assessed as normal in postflight testing. Anomaly CLOSED.
A08-004,Apollo 8,,,ECLSS,true,"The Commander reported that his left shoulder was showered with water at landing, implying sea water entered through the cabin pressure relief valve; crew reported both sides of the valve had been positioned closed per checklist.",,"Postflight testing: valves held to spec at 13 psi closed, only a fine spray at 25 psig with no permanent yield, no salt deposits, cam/lever rigging verified; only negligible sea water could enter by ram effect. The water that drenched the Commander was most likely accumulated internal condensation (Apollo 7 accumulated ~2 quarts on the aft bulkhead) on uninsulated coolant lines. No corrective action required.",high,true,false,,,Anomaly 12.4. Crew-reported at landing; source (condensation vs sea water) determined postflight. Anomaly CLOSED.
A08-005,Apollo 8,,,structures,false,Two of the six steel cables in the command module recovery loop failed while the spacecraft was being hoisted from the sea.,,"Known weakness: the recovery loop had shown numerous failures in tests at snatch loadings equivalent to a 32,000-lb load, so an auxiliary nylon loop (installed by swimmers) with adequate margin was already provided. For CM 108 and subsequent the steel cable is replaced by a nylon recovery loop; until then swimmers install the auxiliary nylon loop.",high,,false,,,"Anomaly 12.5. Occurred during post-splashdown recovery/hoisting, not detected by the flight crew in flight. Anomaly CLOSED."
A08-006,Apollo 8,,,comms,false,During recovery operations the swimmers were unable to communicate with the crew via the intercommunications system; the crew reported the spacecraft intercom switches were in the proper position.,,"Postflight test of the actual swimmer interphone in the recovery configuration gave satisfactory two-way comm to all three crew stations. Most probable cause is outside the spacecraft, associated with operation of the swimmer interphone; interphone-operation training to be emphasized for future flights.",high,,false,,,"Anomaly 12.6. Post-splashdown recovery-operations problem, external to the spacecraft; not a flight-crew inflight diagnosis. Anomaly CLOSED."
A08-007,Apollo 8,,,ECLSS,false,The potable water tank quantity measurement became erratic at 143:53:00 GET. (No actual water leak occurred - correct water quantity was later drained and leak checks were within spec.),,"Disassembly found corrosion in the indicator housing, on the variable resistor, and on the actuator pulley, indicating moisture (urine and possibly waste water) had migrated through the oxygen bleed filter/orifice into the indicator housing and bladder when the tank was full (>~90%, bladder isolates the 20-psig oxygen from the bleed orifice, lowering gas-bladder pressure and letting urine/water in during dumps). Moisture in the variable resistor produces erratic readings. For Apollo 9, potable water fill will be terminated at ~80% of maximum.",medium,,false,,,Anomaly 12.7. Instrumentation/measurement anomaly noted at a specific GET; root cause (contamination/corrosion) found only on postflight disassembly. Anomaly CLOSED.
A08-008,Apollo 8,,,EPS,false,Degradation in fuel cell performance experienced after switching to onboard cryogenics during countdown; gas samples from the fuel cell purge lines showed approximately 8000 ppm nitrogen (spec limit 30 ppm).,,"During ground LOX servicing a facility LOX line leak caused a safety shutdown; the vent/shutdown procedure was incorrect in one step, calling for opening valve 1 instead of valve 2, which let liquid nitrogen flow through valve 1 into the LOX supply line and thus into the fuel cell reactant. Procedures were corrected and verified by test.",high,,false,,,Anomaly 12.8. Pre-launch/countdown ground-servicing event detected by gas sampling; not a flight-crew inflight anomaly. Anomaly CLOSED.
A08-009,Apollo 8,,,crew-health,true,"About 2 hours into his first rest period (~11:00:00 GET) the Commander (Borman), after taking a 100-mg Seconal sleeping tablet, awoke nauseated with a moderate occipital headache; nausea worsened with retching and vomiting twice, plus gastrointestinal distress/loose bowels; symptoms remitted within ~24 hours.",,Tentatively diagnosed in flight by the (chief) medical flight controller as acute viral gastroenteritis (a 24-hr intestinal flu; a 24-hr viral gastroenteritis epidemic was present at Cape Kennedy just before launch); postflight the Commander suggested the symptoms may instead have been a side effect of the sleeping tablet (he had a mild hangover/nausea in preflight trial of the drug). Illness remitted completely with no further treatment.,medium,false,true,,,"SUPPLEMENTARY - from Section 10 Biomedical Evaluation, NOT one of the 8 numbered Section-12 anomalies (so excluded from anomaly_count_in_report=8). This is the classic crew-diagnosed-in-flight Apollo 8 event, but the tentative diagnosis was made by the medical flight controller from a DELAYED-TRANSMISSION recorded voice dump, not a discrete GET-timestamped CapCom air-to-ground back-and-forth. Per the hard rule (turns require a quoted GET-timestamped transcript exchange), human_turns_to_diagnosis left at -1; not hunted further (bounded). Also note all three crew experienced mild motion sickness early in the mission (Section 10)."
A09-001,Apollo 9,003:04:43,003:07:27,RCS,true,Following S-IVB separation the crew lost the ability to translate left during transposition/docking; quad C primary+secondary and quad D secondary propellant isolation valve talkbacks showed barber-pole (closed). Control problem lasted ~12 min.,"003:04:43 Scott: '...We got turned off, turned around, and lined up, and didn't have any left translation for some reason.' 003:05:00 Roosa: 'Roger. Copy, No left translation.' 003:07:27 Scott: '...for some reason we noticed that we didn't have any left translation and tried to figure out why. Finally noticed that the primary quad C and secondary quad C isolation valves were closed, and the secondary Dog was closed... It took us a while to get back after we got that sorted out...' 003:08:21 Roosa: 'Roger, Apollo 9. Copied all that real good.'","Isolation valves found closed; most probable cause a valve closure from mechanical shock at CSM/adapter separation (spring-loaded, magnetically-latched Parker valves). Investigation inconclusive but hardware undamaged; procedures changed to verify valve indications after shock. Anomaly closed.",high,true,true,0,164,CREW SELF-DIAGNOSIS. The crew identified the closed quad C isolation valves onboard during the maneuver (before/at this comm pass) and reopened them without ground help; CapCom Roosa only acknowledged. Turns-to-diagnosis therefore = 0 (no air-to-ground exchange contributed to the diagnosis). The 164 s span is from the crew's first symptom mention (003:04:43) to their self-diagnosis recap (003:07:27); the intervening exchanges concerned an unrelated quad A package-temperature check (~200 F). Further ground discussion occurred at 007:20:18 per AFJ note.
A09-002,Apollo 9,,,GNC,true,Scanning telescope shaft stuck intermittently during first 5 days; mechanical counter shaft became inoperative on day 2 (degree indicators would not move).,,Pin on the 'tenths' drum dropped out of an out-of-tolerance (oversize) hole on the drive hub and jammed/lodged in the anti-backlash gears. Crew freed the shaft via repeated manual-adjust operation; root cause established by postflight teardown. Counters replaced on subsequent CM/LM. Closed.,high,true,false,,,"Crew operated/freed it in flight but the causal diagnosis (out-of-tolerance hole, dislodged pin) came from postflight teardown."
A09-003,Apollo 9,,,EPS,false,"Automatic pressure control of the cryogenic hydrogen tanks failed; heaters did not auto-activate at ~93 hr, then all H2 heaters came on near final undocking and over-pressurized tanks to ~270 psia, requiring manual heater-off.",,Most probable cause an intermittent open-circuit in the motor control circuit (16-gage terminal board) induced by undocking shock. Managed manually for rest of mission; no corrective action for Apollo 10. Closed.,medium,,false,,,First indication noted at 93 hr via heater/pressure behavior (telemetry-detected); cause from postflight analysis.
A09-004,Apollo 9,,,structures,true,"During initial undocking the docking probe did not physically unlatch until the third try; later, with the switch in RETRACT the display showed barber-pole (probe not cocked for docking).",,Extend/release-retract switch not held long enough for the probe to fully extend/cock; design allows latches not to cock if release motors are not energized long enough. Crew cycled the mechanism to get proper (gray) indication. Operations Handbook changed. Closed.,high,true,false,,,"Crew resolved operationally in flight, but the causal diagnosis was ground/postflight analysis; not turn-hunted (Day 4 undocking, ~92-93 hr)."
A09-005,Apollo 9,,,comms,false,Spacecraft/ground command (uplink) system malfunctioned beginning ~109 hr; over 50% of 55 real-time commands not accepted until crew cycled the up-telemetry command/reset switch at ~118:45.,,"No single cause identified; contributing ground conditions (uplink modulation off, decommutator out-of-lock, marginal RF). Low-voltage 'hang-up' of the updata-link program counter reproduced only under special tests but ruled unlikely in flight. Recycle switch to recover. Closed.",high,,false,,,"Ground-detected (commands not accepted); crew action was corrective, not diagnostic. Cause never specifically identified."
A09-006,Apollo 9,,,GNC,false,Entry Monitor System failed to scribe during entry.,,"Scribe coat hardened (moisture ingress via a leaking scroll environmental seal, then slow vacuum-dry at 5 psia over 10 days) so the stylus failed to scribe; Loc-tite contamination on the stylus holder added lag. Corrective changes on CM-106+. Closed.",high,,false,,,Detected/diagnosed postflight via scroll analysis.
A09-007,Apollo 9,,,SPS,true,Eight master alarms from the propellant utilization & gaging system during the 3rd SPS firing indicating excessive propellant unbalance; crew switched to the auxiliary (point-sensor) system.,,"All alarms explainable: capacitance-tube level not settling as fast as expected at start-up, plus an electrical zero bias in the oxidizer measuring circuit after storage-tank depletion, plus a legitimate unbalance. PUGS master-alarm/C&W functions cut on SC-106+. Closed.",high,true,false,,,Crew reacted (switched to aux) but the alarm causes were explained postflight.
A09-008,Apollo 9,,,C&W,true,A master alarm with no caution-and-warning annunciator occurred coincident with (hard) docking; additional unexplained master alarms at deorbit (240:31:20) and after drogue deploy (240:55:45).,,"Not determined. Attributed to a shock-sensitive intermittent external input to the very sensitive (5-microsecond) master-alarm trigger among 69 inputs (e.g., intermittent wiring, shock-sensitive transducer, or system transient). No C&W unit malfunction found in postflight tests. Closed.",high,true,false,,,Cause could not be determined; not diagnosable in flight.
A09-009,Apollo 9,,,EPS,false,Fuel cell 2 condenser exit temperature repeatedly ran outside the normal 155-165 F range (but never above 200 F) between ~88 and ~191 hr.,,Coolant-loop contamination (gelatinous phosphates/solid particles) restricted secondary coolant regenerator bypass-valve travel. Block I (less contamination-prone) valve to be used on SC-110+. Closed.,high,,false,,,Telemetry-detected; cause from ground tests/analysis.
A09-010,Apollo 9,,,lighting,true,Service-module docking (exterior) spotlight failed to operate/deploy; reported by the CMP during the pre-rendezvous lighting check.,,"The deploy circuit breaker was open at launch (per spec, to prevent inadvertent deployment) and had not been closed before the deploy attempt; crew checklist omitted closing it. Checklist changed. Closed.",high,true,false,,,Crew reported; root cause (open breaker / checklist omission) established by ground review.
A09-011,Apollo 9,,,lighting,true,"Crew reported three interior floodlight anomalies: a failed lamp (RH lower equipment bay), a headrest floodlight that overheated with a burning odor, and a failed LH headrest secondary lamp.",,RH-bay primary lamp: total cathode erosion (mechanical bond failure). Headrest 'overheat/odor': normal hot operation of the lens plus odor from touch-up paint (no actual failure). LH headrest secondary lamp: broken wire in the CM. Procedures/notes added. Closed.,high,true,false,,,Diagnosed by functional postflight testing.
A09-012,Apollo 9,,,GNC,true,"On two occasions the command module computer appeared not to receive/act on data entered via the DSKY (a DAP config change before the 6th SPS burn, and a Verb 46 ENTER to deactivate the autopilot).",,"No hardware failure (computer did blank the displays). Both symptoms reproducible by procedural error: pressing PROCEED instead of ENTER in case 1, and a VERB re-keying or a no-action verb in case 2. Closed.",high,true,false,,,Attributed to procedural error via postflight analysis.
A09-013,Apollo 9,,,ECLSS,true,Repressurization of the (ECS) surge tank took an excessive length of time; nominal repressurization achieved after the crew repositioned the tank shutoff valve.,,Decal marking misaligned with the valve detent position (found ~20 deg off postflight); no mechanical valve problem. SC-106 checked for alignment. Closed.,high,true,false,,,"Crew suspected decal misalignment, but this was stated during the postflight systems debriefing; confirmed postflight."
A09-014,Apollo 9,,,structures,false,"After recovery, one docking-ring separation shaped-charge holder was found deformed and out of its channel, protruding several inches beyond the tunnel structure (a parachute-line hazard).",,Free end of the pinned charge holder had only weak cantilever spring retention and came out of the backup-ring channel after the ring was cut; qualification tests had shown holders coming out. Whether the distortion occurred in flight or during recovery is unknown (recovery suspected - no heat discoloration). Retention springs added on SC-106. Closed.,high,,false,,,Found during postflight/recovery inspection.
A09-015,Apollo 9,,,LM DPS,false,"During the first ~35 s of the first (docked) descent-engine firing, the DPS regulator outlet manifold pressure dropped from 235 to 188 psia (should regulate at 247); supercritical helium tank pressure fell 743->711 psia, then cleared.",,"Air drawn into the manifold during launch-pad SHe servicing (manifold pressure dropped to zero because the purge shared the manifold regulator) condensed/froze in the tank heat exchanger, blocking it; blockage cleared ~35 s into the firing. GSE modified for Apollo 10. Closed.",high,,false,,,Telemetry-detected; cause from ground testing.
A09-016,Apollo 9,,,LM DPS,false,Supercritical helium tank pressure for the descent propulsion system decayed at 2.9 psi/hr immediately after the first descent firing shutdown and continued until staging (pressure should always rise under no-flow).,,"~0.1 lb/hr helium leak, probably a defective internal braze in the (internally-brazed, non-inspectable) supercritical-helium squib valve, most likely cracked by squib-firing shock. Apollo 10 uses externally brazed valve. Closed.",high,,false,,,Telemetry-detected; cause from ground tests/analysis.
A09-017,Apollo 9,,,LM,true,The LM tracking light failed shortly after LM (ascent-stage) staging.,,"Most likely a high-voltage breakdown in the pulse-forming network (other candidates: flash-head, HV cable, electronics package). Modified/arc-suppressed configurations qualified for Apollo 10/11. Closed.",medium,false,false,,,"Failure of the CSM-tracked LM light noted operationally (crew_initiated marked true with medium confidence); probable cause from failure-history analysis/testing, not in flight."
A09-018,Apollo 9,,,comms,true,The Lunar Module Pilot's push-to-talk switches (umbilical and attitude-control-assembly) were inoperative at ~89 hr; LMP used VOX for the remainder of LM operations.,,Probable discontinuity (broken wire) in the common wire to the parallel push-to-talk switches (failure of both switches improbable). Troubleshooting/backup-mode procedures added. Closed.,high,true,false,,,Crew worked around via VOX; probable cause from postflight analysis.
A09-019,Apollo 9,,,GNC,true,During the third LM manning a caution-and-warning alarm occurred when the abort guidance system (AGS) was activated (no alarm on prior mannings).,,"Most likely a shorted/broken wire between the abort electronics assembly and the signal-conditioner electronics assembly (or within those or the C&W assembly); AGS calibrated and temperature normal, ruling out real power/temperature limits. Closed.",high,true,false,,,Crew observed the C&W alarm; probable cause from analysis.
A09-020,Apollo 9,,,structures,true,When the LM forward hatch was opened for EVA it tended to bind on top and had to be pushed downward to open.,,Front-face insulation blankets around the hatch protruded below the fixed-structure shielding into the path of the hatch shield lip (clearances found reduced on the Apollo 10 LM; similar conditions inferred on Apollo 9). Hatch shield/trim redesign for Apollo 10+. Closed.,high,true,false,,,Crew reported; cause inferred from postflight inspection of the Apollo 10 LM.
A09-021,Apollo 9,,,structures,true,The LM forward hatch would not stay open during EVA.,,"The door stop (snubber) intended to ride against floor Velcro could, under worst-case tolerances, leave a 0.040-inch clearance to the Velcro, so it failed to hold the door open. Redesigned snubber for Apollo 11+. Closed.",high,true,false,,,Crew reported; cause from tolerance analysis.
A09-022,Apollo 9,,,ECLSS,true,Excessive cabin noise in the LM during helmets-off operation (one crewman improvised earpieces).,,"Noise primarily from cabin fans, glycol pumps and suit compressors; glycol pumps couple acoustic energy into the glycol lines and pressure vessel (dominant). Single-fan procedure, earpieces, and later isolation mods. Closed.",high,true,false,,,Crew reported; sources identified by postflight noise measurements.
